Rarity	EffectType	Description
0*	000: None	
1*	001: TypeStatBonus	When kept in the bag, it slightly boosts the {1} of {0}-type members.
3*	002: TypeSpeedBoost	When kept in the bag, it boosts the Movement Speed of {0}-type members that have no status conditions.
5*	003: TypeGroupWeaknessReduce	When kept in the bag, it reduces damage done to {0}-type members by {1}-type attacks, based on how many are on the team.
5*	004: TypeBulldozer	When kept in the bag, it allows {0}-type moves to hit {1}-type Pokémon.
3*	005: SuperCrit	When kept in the bag, it raises the critical-hit ratio of super-effective hits.
1*	006: NVECrit	When kept in the bag, it raises the critical-hit ratio of not-very-effective hits.
5*	007: Nontraitor	When kept in the bag, the Pokémon cannot damage allies with its moves.
2*	008: WaterTerrain	When kept in the bag, the Pokémon can traverse water.
2*	009: LavaTerrain	When kept in the bag, the Pokémon can traverse lava without being burned.
4*	010: AllTerrain	When kept in the bag, the Pokémon can traverse water, lava, and pits.
5*	011: Wallbreaker	When kept in the bag, some of the Pokémon's moves will break walls.
5*	012: GapFiller	When kept in the bag, some of the Pokémon's moves will fill water, lava, and pits.
2*	013: PPBoost	When kept in the bag, the Pokémon gets an extra {0}PP to all of its moves.
1*	014: DeepBreather	When kept in the bag, it restores the PP of a move when the Pokémon reaches a new floor.
1*	015: PracticeSwinger	When kept in the bag, the Pokémon will do increased damage if its previous move missed.
2*	016: MisfortuneMirror	When kept in the bag, the Pokémon will more easily dodge attacks if its previous move missed.
3*	017: CounterBasher	When kept in the bag, the Pokémon will counter damage from regular attacks and thrown items.
2*	018: DoubleAttacker	When kept in the bag, it allows the Pokémon's regular attack to strike twice.
2*	019: MasterHurler	When kept in the bag, items thrown by the Pokémon will pierce through enemies.
5*	020: AllyReviver	When kept in the bag, the Pokémon will revive a fallen ally when it reaches a new floor.
5*	021: AllyReviverBattle	When kept in the bag, the Pokémon will revive a fallen ally when it defeats an opponent.
2*	022: PressurePlus	When kept in the bag, the Pokémon will raise the PP usage of opponents that attack it.
2*	023: StatusOnAttack	When kept in the bag, the Pokémon's regular attacks and thrown items have a chance to inflict the {0} status.
3*	024: KnockbackOnAttack	When kept in the bag, the Pokémon's regular attack will knock opponents back.
4*	025: ThrowOnAttack	When kept in the bag, the Pokémon's regular attack will throw opponents back.
1*	026: SureHitAttacker	When kept in the bag, the Pokémon's regular attack cannot miss.
