Family	User	Evo	Index	Trade	Rarity
1	venusaur	TRUE	A	*	5*
1	ivysaur	TRUE	B	*	4*
1	bulbasaur	TRUE	C	*	1-2*
1	bulbasaur	TRUE	D	*	1-2*
1	bulbasaur	TRUE	E	*	2-3*
1	ivysaur	TRUE	F	*	2-3*
4	charizard	TRUE	A	*	5*
4	charmeleon	TRUE	B	*	4*
4	charmander	TRUE	C	*	1-2*
4	charmander	TRUE	D	*	1-2*
4	charmander	TRUE	E	*	2-3*
4	charmeleon	TRUE	F	*	2-3*
7	blastoise	TRUE	A	*	5*
7	wartortle	TRUE	B	*	4*
7	squirtle	TRUE	C	*	1-2*
7	squirtle	TRUE	D	*	1-2*
7	squirtle	TRUE	E	*	2-3*
7	wartortle	TRUE	F	*	2-3*
10	butterfree	TRUE	A	*	5*
10	metapod	TRUE	B	*	4*
10	caterpie	TRUE	C	*	1-2*
10	caterpie	TRUE	D	*	1-2*
10	caterpie	TRUE	E	*	2-3*
10	metapod	TRUE	F	*	2-3*
13	beedrill	TRUE	A	*	5*
13	kakuna	TRUE	B	*	4*
13	weedle	TRUE	C	*	1-2*
13	weedle	TRUE	D	*	1-2*
13	weedle	TRUE	E	*	2-3*
13	kakuna	TRUE	F	*	2-3*
16	pidgeot	TRUE	A	*	5*
16	pidgeotto	TRUE	B	*	4*
16	pidgey	TRUE	C	*	1-2*
16	pidgey	TRUE	D	*	1-2*
16	pidgey	TRUE	E	*	2-3*
16	pidgeotto	TRUE	F	*	2-3*
19	raticate	TRUE	A	*	5*
19	raticate	TRUE	B	*	4*
19	rattata	TRUE	C	*	1-2*
19	rattata	TRUE	D	*	1-2*
19	rattata	TRUE	E	*	2-3*
19	raticate	TRUE	F	*	2-3*
21	fearow	TRUE	A	*	5*
21	fearow	TRUE	B	*	4*
21	spearow	TRUE	C	*	1-2*
21	spearow	TRUE	D	*	1-2*
21	spearow	TRUE	E	*	2-3*
21	fearow	TRUE	F	*	2-3*
23	arbok	TRUE	A	*	5*
23	arbok	TRUE	B	*	4*
23	ekans	TRUE	C	*	1-2*
23	ekans	TRUE	D	*	1-2*
23	ekans	TRUE	E	*	2-3*
23	arbok	TRUE	F	*	2-3*
25	raichu	TRUE	A	*	5*
25	pikachu	TRUE	B	*	4*
25	pichu	TRUE	C	*	1-2*
25	pichu	TRUE	D	*	1-2*
25	pichu	TRUE	E	*	2-3*
25	pikachu	TRUE	F	*	2-3*
27	sandslash	TRUE	A	*	5*
27	sandslash	TRUE	B	*	4*
27	sandshrew	TRUE	C	*	1-2*
27	sandshrew	TRUE	D	*	1-2*
27	sandshrew	TRUE	E	*	2-3*
27	sandslash	TRUE	F	*	2-3*
29	nidoqueen	TRUE	A	*	5*
29	nidorina	TRUE	B	*	4*
29	nidoran_f	TRUE	C	*	1-2*
29	nidoran_f	TRUE	D	*	1-2*
29	nidoran_f	TRUE	E	*	2-3*
29	nidorina	TRUE	F	*	2-3*
32	nidoking	TRUE	A	*	5*
32	nidorino	TRUE	B	*	4*
32	nidoran_m	TRUE	C	*	1-2*
32	nidoran_m	TRUE	D	*	1-2*
32	nidoran_m	TRUE	E	*	2-3*
32	nidorino	TRUE	F	*	2-3*
35	clefable	TRUE	A	*	5*
35	clefairy	TRUE	B	*	4*
35	cleffa	TRUE	C	*	1-2*
35	cleffa	TRUE	D	*	1-2*
35	cleffa	TRUE	E	*	2-3*
35	clefairy	TRUE	F	*	2-3*
37	ninetales	TRUE	A	*	5*
37	ninetales	TRUE	B	*	4*
37	vulpix	TRUE	C	*	1-2*
37	vulpix	TRUE	D	*	1-2*
37	vulpix	TRUE	E	*	2-3*
37	ninetales	TRUE	F	*	2-3*
39	wigglytuff	TRUE	A	*	5*
39	jigglypuff	TRUE	B	*	4*
39	igglybuff	TRUE	C	*	1-2*
39	igglybuff	TRUE	D	*	1-2*
39	igglybuff	TRUE	E	*	2-3*
39	jigglypuff	TRUE	F	*	2-3*
41	crobat	TRUE	A	*	5*
41	golbat	TRUE	B	*	4*
41	zubat	TRUE	C	*	1-2*
41	zubat	TRUE	D	*	1-2*
41	zubat	TRUE	E	*	2-3*
41	golbat	TRUE	F	*	2-3*
43	bellossom	FALSE	A	@	5*
43	vileplume	FALSE	B	@	5*
43	gloom	FALSE	C	@	1-2*
43	oddish	FALSE	D	@	1-2*
43	oddish	FALSE	E	@	3-4*
43	oddish	FALSE	F	@	3-4*
46	parasect	TRUE	A	*	5*
46	parasect	TRUE	B	*	4*
46	paras	TRUE	C	*	1-2*
46	paras	TRUE	D	*	1-2*
46	paras	TRUE	E	*	2-3*
46	parasect	TRUE	F	*	2-3*
48	venomoth	TRUE	A	*	5*
48	venomoth	TRUE	B	*	4*
48	venonat	TRUE	C	*	1-2*
48	venonat	TRUE	D	*	1-2*
48	venonat	TRUE	E	*	2-3*
48	venomoth	TRUE	F	*	2-3*
50	dugtrio	TRUE	A	*	5*
50	dugtrio	TRUE	B	*	4*
50	diglett	TRUE	C	*	1-2*
50	diglett	TRUE	D	*	1-2*
50	diglett	TRUE	E	*	2-3*
50	dugtrio	TRUE	F	*	2-3*
52	persian	FALSE	A	@	5*
52	meowth	FALSE	B	@	5*
52	meowth	FALSE	C	@	1-2*
52	meowth	FALSE	D	@	1-2*
52	meowth	FALSE	E	@	3-4*
52	meowth	FALSE	F	@	3-4*
54	golduck	TRUE	A	*	5*
54	golduck	TRUE	B	*	4*
54	psyduck	TRUE	C	*	1-2*
54	psyduck	TRUE	D	*	1-2*
54	psyduck	TRUE	E	*	2-3*
54	golduck	TRUE	F	*	2-3*
56	annihilape	TRUE	A	*	5*
56	primeape	TRUE	B	*	4*
56	mankey	TRUE	C	*	1-2*
56	mankey	TRUE	D	*	1-2*
56	mankey	TRUE	E	*	2-3*
56	primeape	TRUE	F	*	2-3*
58	arcanine	TRUE	A	*	5*
58	arcanine	TRUE	B	*	4*
58	growlithe	TRUE	C	*	1-2*
58	growlithe	TRUE	D	*	1-2*
58	growlithe	TRUE	E	*	2-3*
58	arcanine	TRUE	F	*	2-3*
60	politoed	FALSE	A	@	5*
60	poliwrath	FALSE	B	@	5*
60	poliwhirl	FALSE	C	@	1-2*
60	poliwag	FALSE	D	@	1-2*
60	poliwag	FALSE	E	@	3-4*
60	poliwag	FALSE	F	@	3-4*
63	alakazam	TRUE	A	*	5*
63	kadabra	TRUE	B	*	4*
63	abra	TRUE	C	*	1-2*
63	abra	TRUE	D	*	1-2*
63	abra	TRUE	E	*	2-3*
63	kadabra	TRUE	F	*	2-3*
66	machamp	TRUE	A	*	5*
66	machoke	TRUE	B	*	4*
66	machop	TRUE	C	*	1-2*
66	machop	TRUE	D	*	1-2*
66	machop	TRUE	E	*	2-3*
66	machoke	TRUE	F	*	2-3*
69	victreebel	TRUE	A	*	5*
69	weepinbell	TRUE	B	*	4*
69	bellsprout	TRUE	C	*	1-2*
69	bellsprout	TRUE	D	*	1-2*
69	bellsprout	TRUE	E	*	2-3*
69	weepinbell	TRUE	F	*	2-3*
72	tentacruel	TRUE	A	*	5*
72	tentacruel	TRUE	B	*	4*
72	tentacool	TRUE	C	*	1-2*
72	tentacool	TRUE	D	*	1-2*
72	tentacool	TRUE	E	*	2-3*
72	tentacruel	TRUE	F	*	2-3*
74	golem	TRUE	A	*	5*
74	graveler	TRUE	B	*	4*
74	geodude	TRUE	C	*	1-2*
74	geodude	TRUE	D	*	1-2*
74	geodude	TRUE	E	*	2-3*
74	graveler	TRUE	F	*	2-3*
77	rapidash	TRUE	A	*	5*
77	rapidash	TRUE	B	*	4*
77	ponyta	TRUE	C	*	1-2*
77	ponyta	TRUE	D	*	1-2*
77	ponyta	TRUE	E	*	2-3*
77	rapidash	TRUE	F	*	2-3*
79	slowking	FALSE	A	@	5*
79	slowbro	FALSE	B	@	5*
79	slowpoke	FALSE	C	@	1-2*
79	slowpoke	FALSE	D	@	1-2*
79	slowpoke	FALSE	E	@	3-4*
79	slowpoke	FALSE	F	@	3-4*
81	magnezone	TRUE	A	*	5*
81	magneton	TRUE	B	*	4*
81	magnemite	TRUE	C	*	1-2*
81	magnemite	TRUE	D	*	1-2*
81	magnemite	TRUE	E	*	2-3*
81	magneton	TRUE	F	*	2-3*
83	sirfetchd	TRUE	A	*	5*
83	sirfetchd	TRUE	B	*	4*
83	farfetchd	TRUE	C	*	1-2*
83	farfetchd	TRUE	D	*	1-2*
83	farfetchd	TRUE	E	*	2-3*
83	sirfetchd	TRUE	F	*	2-3*
84	dodrio	TRUE	A	*	5*
84	dodrio	TRUE	B	*	4*
84	doduo	TRUE	C	*	1-2*
84	doduo	TRUE	D	*	1-2*
84	doduo	TRUE	E	*	2-3*
84	dodrio	TRUE	F	*	2-3*
86	dewgong	TRUE	A	*	5*
86	dewgong	TRUE	B	*	4*
86	seel	TRUE	C	*	1-2*
86	seel	TRUE	D	*	1-2*
86	seel	TRUE	E	*	2-3*
86	dewgong	TRUE	F	*	2-3*
88	muk	TRUE	A	*	5*
88	muk	TRUE	B	*	4*
88	grimer	TRUE	C	*	1-2*
88	grimer	TRUE	D	*	1-2*
88	grimer	TRUE	E	*	2-3*
88	muk	TRUE	F	*	2-3*
90	cloyster	TRUE	A	*	5*
90	cloyster	TRUE	B	*	4*
90	shellder	TRUE	C	*	1-2*
90	shellder	TRUE	D	*	1-2*
90	shellder	TRUE	E	*	2-3*
90	cloyster	TRUE	F	*	2-3*
92	gengar	TRUE	A	*	5*
92	haunter	TRUE	B	*	4*
92	gastly	TRUE	C	*	1-2*
92	gastly	TRUE	D	*	1-2*
92	gastly	TRUE	E	*	2-3*
92	haunter	TRUE	F	*	2-3*
95	steelix	TRUE	A	*	5*
95	steelix	TRUE	B	*	4*
95	onix	TRUE	C	*	1-2*
95	onix	TRUE	D	*	1-2*
95	onix	TRUE	E	*	2-3*
95	steelix	TRUE	F	*	2-3*
96	hypno	TRUE	A	*	5*
96	hypno	TRUE	B	*	4*
96	drowzee	TRUE	C	*	1-2*
96	drowzee	TRUE	D	*	1-2*
96	drowzee	TRUE	E	*	2-3*
96	hypno	TRUE	F	*	2-3*
98	kingler	TRUE	A	*	5*
98	kingler	TRUE	B	*	4*
98	krabby	TRUE	C	*	1-2*
98	krabby	TRUE	D	*	1-2*
98	krabby	TRUE	E	*	2-3*
98	kingler	TRUE	F	*	2-3*
100	electrode	TRUE	A	*	5*
100	electrode	TRUE	B	*	4*
100	voltorb	TRUE	C	*	1-2*
100	voltorb	TRUE	D	*	1-2*
100	voltorb	TRUE	E	*	2-3*
100	electrode	TRUE	F	*	2-3*
102	exeggutor	TRUE	A	*	5*
102	exeggutor	TRUE	B	*	4*
102	exeggcute	TRUE	C	*	1-2*
102	exeggcute	TRUE	D	*	1-2*
102	exeggcute	TRUE	E	*	2-3*
102	exeggutor	TRUE	F	*	2-3*
104	marowak	TRUE	A	*	5*
104	marowak	TRUE	B	*	4*
104	cubone	TRUE	C	*	1-2*
104	cubone	TRUE	D	*	1-2*
104	cubone	TRUE	E	*	2-3*
104	marowak	TRUE	F	*	2-3*
106	hitmontop	FALSE	A	@	5*
106	hitmonchan	FALSE	B	@	5*
106	hitmonlee	FALSE	C	@	1-2*
106	tyrogue	FALSE	D	@	1-2*
106	tyrogue	FALSE	E	@	3-4*
106	tyrogue	FALSE	F	@	3-4*
108	lickilicky	TRUE	A	*	5*
108	lickilicky	TRUE	B	*	4*
108	lickitung	TRUE	C	*	1-2*
108	lickitung	TRUE	D	*	1-2*
108	lickitung	TRUE	E	*	2-3*
108	lickilicky	TRUE	F	*	2-3*
109	weezing	TRUE	A	*	5*
109	weezing	TRUE	B	*	4*
109	koffing	TRUE	C	*	1-2*
109	koffing	TRUE	D	*	1-2*
109	koffing	TRUE	E	*	2-3*
109	weezing	TRUE	F	*	2-3*
111	rhyperior	TRUE	A	*	5*
111	rhydon	TRUE	B	*	4*
111	rhyhorn	TRUE	C	*	1-2*
111	rhyhorn	TRUE	D	*	1-2*
111	rhyhorn	TRUE	E	*	2-3*
111	rhydon	TRUE	F	*	2-3*
113	blissey	TRUE	A	*	5*
113	chansey	TRUE	B	*	4*
113	happiny	TRUE	C	*	1-2*
113	happiny	TRUE	D	*	1-2*
113	happiny	TRUE	E	*	2-3*
113	chansey	TRUE	F	*	2-3*
114	tangrowth	TRUE	A	*	5*
114	tangrowth	TRUE	B	*	4*
114	tangela	TRUE	C	*	1-2*
114	tangela	TRUE	D	*	1-2*
114	tangela	TRUE	E	*	2-3*
114	tangrowth	TRUE	F	*	2-3*
115	kangaskhan	FALSE	A	*	5*
115	kangaskhan	FALSE	B	*	4*
115	kangaskhan	FALSE	C	*	1-2*
115	kangaskhan	FALSE	D	*	1-2*
115	kangaskhan	FALSE	E	*	2-3*
115	kangaskhan	FALSE	F	*	2-3*
116	kingdra	TRUE	A	*	5*
116	seadra	TRUE	B	*	4*
116	horsea	TRUE	C	*	1-2*
116	horsea	TRUE	D	*	1-2*
116	horsea	TRUE	E	*	2-3*
116	seadra	TRUE	F	*	2-3*
118	seaking	TRUE	A	*	5*
118	seaking	TRUE	B	*	4*
118	goldeen	TRUE	C	*	1-2*
118	goldeen	TRUE	D	*	1-2*
118	goldeen	TRUE	E	*	2-3*
118	seaking	TRUE	F	*	2-3*
120	starmie	TRUE	A	*	5*
120	starmie	TRUE	B	*	4*
120	staryu	TRUE	C	*	1-2*
120	staryu	TRUE	D	*	1-2*
120	staryu	TRUE	E	*	2-3*
120	starmie	TRUE	F	*	2-3*
122	mr_mime	TRUE	A	*	5*
122	mr_mime	TRUE	B	*	4*
122	mime_jr	TRUE	C	*	1-2*
122	mime_jr	TRUE	D	*	1-2*
122	mime_jr	TRUE	E	*	2-3*
122	mr_mime	TRUE	F	*	2-3*
123	kleavor	FALSE	A	@	5*
123	scizor	FALSE	B	@	5*
123	scyther	FALSE	C	@	1-2*
123	scyther	FALSE	D	@	1-2*
123	scyther	FALSE	E	@	3-4*
123	scyther	FALSE	F	@	3-4*
124	jynx	TRUE	A	*	5*
124	jynx	TRUE	B	*	4*
124	smoochum	TRUE	C	*	1-2*
124	smoochum	TRUE	D	*	1-2*
124	smoochum	TRUE	E	*	2-3*
124	jynx	TRUE	F	*	2-3*
125	electivire	TRUE	A	*	5*
125	electabuzz	TRUE	B	*	4*
125	elekid	TRUE	C	*	1-2*
125	elekid	TRUE	D	*	1-2*
125	elekid	TRUE	E	*	2-3*
125	electabuzz	TRUE	F	*	2-3*
126	magmortar	TRUE	A	*	5*
126	magmar	TRUE	B	*	4*
126	magby	TRUE	C	*	1-2*
126	magby	TRUE	D	*	1-2*
126	magby	TRUE	E	*	2-3*
126	magmar	TRUE	F	*	2-3*
127	pinsir	FALSE	A	*	5*
127	pinsir	FALSE	B	*	4*
127	pinsir	FALSE	C	*	1-2*
127	pinsir	FALSE	D	*	1-2*
127	pinsir	FALSE	E	*	2-3*
127	pinsir	FALSE	F	*	2-3*
128	tauros	FALSE	A	*	5*
128	tauros	FALSE	B	*	4*
128	tauros	FALSE	C	*	1-2*
128	tauros	FALSE	D	*	1-2*
128	tauros	FALSE	E	*	2-3*
128	tauros	FALSE	F	*	2-3*
129	gyarados	TRUE	A	*	5*
129	gyarados	TRUE	B	*	4*
129	magikarp	TRUE	C	*	1-2*
129	magikarp	TRUE	D	*	1-2*
129	magikarp	TRUE	E	*	2-3*
129	gyarados	TRUE	F	*	2-3*
131	lapras	FALSE	A	*	5*
131	lapras	FALSE	B	*	4*
131	lapras	FALSE	C	*	1-2*
131	lapras	FALSE	D	*	1-2*
131	lapras	FALSE	E	*	2-3*
131	lapras	FALSE	F	*	2-3*
132	ditto	FALSE	A	*	5*
132	ditto	FALSE	B	*	4*
132	ditto	FALSE	C	*	1-2*
132	ditto	FALSE	D	*	1-2*
132	ditto	FALSE	E	*	2-3*
132	ditto	FALSE	F	*	2-3*
133	sylveon	FALSE	A	@	5*
133	glaceon	FALSE	B	@	5*
133	leafeon	FALSE	C	@	1-2*
133	umbreon	FALSE	D	@	1-2*
133	espeon	FALSE	E	@	3-4*
133	flareon	FALSE	F	@	3-4*
137	porygon_z	TRUE	A	*	5*
137	porygon2	TRUE	B	*	4*
137	porygon	TRUE	C	*	1-2*
137	porygon	TRUE	D	*	1-2*
137	porygon	TRUE	E	*	2-3*
137	porygon2	TRUE	F	*	2-3*
138	omastar	TRUE	A	*	5*
138	omastar	TRUE	B	*	4*
138	omanyte	TRUE	C	*	1-2*
138	omanyte	TRUE	D	*	1-2*
138	omanyte	TRUE	E	*	2-3*
138	omastar	TRUE	F	*	2-3*
