Generic Name	Custom Name	User	ON	Evos	Custom Group	Group Name	Name	Item For	Index	Trade	Rarity	Effect	Element	Status	Stat	Target Element	Category	Quantity	Map Status	FamilyOn
0* None	Solar Sash	venusaur	True	True					A	*	5*	082: WeaknessReduce	ice							True
0* None	Plant Torc	ivysaur	True	True					B	*	4*	007: Nontraitor								True
1* Claw		bulbasaur	True	True					C	*	1*	014: DeepBreather								True
1* Fang		bulbasaur	True	True					D	*	2*	051: BarrageGuard								True
0* None	Grass Guard	bulbasaur	True	True					E	*	3*	058: StatusMirror								True
2* Crest		ivysaur	False	True					F	*	3*	000: None								True
0* None	Flame Bangle	charizard	True	True					A	*	5*	067: SecondSTAB	dragon							True
0* None	Kindle Scarf	charmeleon	True	True					B	*	4*	070: PassThroughAttacker								True
1* Claw		charmander	True	True					C	*	1*	015: PracticeSwinger								True
1* Fang		charmander	True	True					D	*	2*	019: MasterHurler								True
0* None	Fiery Heart	charmander	True	True					E	*	3*	038: LungeAttack								True
2* Crest		charmeleon	False	True					F	*	3*	000: None								True
0* None	Hydro Band	blastoise	True	True					A	*	5*	082: WeaknessReduce	electric							True
0* None	Bubble Bangle	wartortle	True	True					B	*	4*	056: FastHealer								True
1* Foam		squirtle	True	True					C	*	1*	014: DeepBreather								True
1* Card		squirtle	True	True					D	*	2*	026: SureHitAttacker								True
0* None	Water Guard	squirtle	True	True					E	*	3*	017: CounterBasher								True
2* Crest		wartortle	False	True					F	*	3*	000: None								True
0* None	Glittery Bow	butterfree	True	True					A	*	5*	078: EndureType	rock							True
3* Bow		metapod	True	True					B	*	4*	047: Celebrate								True
1* Card		caterpie	True	True					C	*	1*	013: PPBoost						2		True
1* Branch		caterpie	True	True					D	*	2*	032: StairSensor								True
0* None		caterpie	True	True					E	*	3*	000: None								True
0* None		metapod	False	True					F	*	3*	000: None								True
0* None	Charge Scarf	beedrill	True	True					A	*	5*	004: TypeBulldozer	poison			steel				True
3* Scarf		kakuna	True	True					B	*	4*	010: AllTerrain								True
1* Horn		weedle	True	True					C	*	1*	053: ClutchPerformer								True
1* Hair		weedle	True	True					D	*	2*	051: BarrageGuard								True
