F###	Family	###	Species	Form	Name	Unimplemented	Encounter	Sprited	Diff	Certified	ExObtain	NeedsPlace
0	missingno	0	missingno	0	Missingno.			True	False	True	False	
0	missingno	0	missingno	1	Substitute			True	False	True	False	
1	bulbasaur	1	bulbasaur	0	Bulbasaur		guildmaster_trail	True	True	True	False	
1	bulbasaur	2	ivysaur	0	Ivysaur		guildmaster_trail	True	False	True	False	
1	bulbasaur	3	venusaur	0	Venusaur		guildmaster_trail	True	False	True	False	
1	bulbasaur	3	venusaur	1	Mega Venusaur		TEMP	False	False	False	False	
1	bulbasaur	3	venusaur	2	Gigantamax Venusaur		TEMP	False	False	False	False	
4	charmander	4	charmander	0	Charmander		guildmaster_trail	True	True	True	False	
4	charmander	5	charmeleon	0	Charmeleon		guildmaster_trail	True	False	True	False	
4	charmander	6	charizard	0	Charizard		guildmaster_trail	True	False	True	False	
4	charmander	6	charizard	1	Mega Charizard X		TEMP	True	False	True	False	
4	charmander	6	charizard	2	Mega Charizard Y		TEMP	False	False	False	False	
4	charmander	6	charizard	3	Gigantamax Charizard		TEMP	False	False	False	False	
7	squirtle	7	squirtle	0	Squirtle		guildmaster_trail	True	True	True	False	
7	squirtle	8	wartortle	0	Wartortle		guildmaster_trail	True	False	True	False	
7	squirtle	9	blastoise	0	Blastoise		guildmaster_trail	True	False	True	False	
7	squirtle	9	blastoise	1	Mega Blastoise		TEMP	False	False	False	False	
7	squirtle	9	blastoise	2	Gigantamax Blastoise		TEMP	False	False	False	False	
10	caterpie	10	caterpie	0	Caterpie		bramble_woods secret_garden tropical_path	True	False	True	False	
10	caterpie	11	metapod	0	Metapod		bramble_woods	True	False	True	False	
10	caterpie	12	butterfree	0	Butterfree		bramble_woods flyaway_cliffs secret_garden sickly_hollow	True	True	True	False	
10	caterpie	12	butterfree	1	Gigantamax Butterfree		TEMP	False	False	False	False	
13	weedle	13	weedle	0	Weedle		bramble_woods secret_garden	True	False	True	False	
13	weedle	14	kakuna	0	Kakuna		bramble_woods	True	False	True	False	
13	weedle	15	beedrill	0	Beedrill		bramble_woods fertile_valley secret_garden sickly_hollow	True	False	True	False	
13	weedle	15	beedrill	1	Mega Beedrill		TEMP	False	False	False	False	
16	pidgey	16	pidgey	0	Pidgey		guildmaster_trail	True	False	True	False	
16	pidgey	17	pidgeotto	0	Pidgeotto		guildmaster_trail	True	False	True	False	
16	pidgey	18	pidgeot	0	Pidgeot		guildmaster_trail	True	False	True	False	
16	pidgey	18	pidgeot	1	Mega Pidgeot		TEMP	False	False	False	False	
19	rattata	19	rattata	0	Rattata		guildmaster_trail trickster_woods	True	False	True	False	
19	rattata	19	rattata	1	Alolan Rattata			True	False	True	False	
19	rattata	20	raticate	0	Raticate		guildmaster_trail thunderstruck_pass	True	False	True	False	
19	rattata	20	raticate	1	Alolan Raticate			True	False	True	False	
21	spearow	21	spearow	0	Spearow			True	False	True	False	
21	spearow	22	fearow	0	Fearow		forsaken_desert snowbound_path	True	False	True	False	
23	ekans	23	ekans	0	Ekans		fertile_valley secret_garden	True	False	True	False	
23	ekans	24	arbok	0	Arbok		forsaken_desert secret_garden	True	False	True	False	
25	pikachu	25	pikachu	0	Pikachu		fertile_valley flyaway_cliffs guildmaster_trail	True	False	True	False	
25	pikachu	25	pikachu	1	Gigantamax Pikachu		TEMP	False	False	False	False	
25	pikachu	26	raichu	0	Raichu		guildmaster_trail thunderstruck_pass	True	False	True	False	
25	pikachu	26	raichu	1	Alolan Raichu		EVOLVE	True	False	True	False	
25	pikachu	172	pichu	0	Pichu		guildmaster_trail	True	True	True	False	
27	sandshrew	27	sandshrew	0	Sandshrew		bramble_woods lava_floe_island trickster_woods tropical_path	True	False	True	False	
27	sandshrew	27	sandshrew	1	Alolan Sandshrew			True	False	True	False	
27	sandshrew	28	sandslash	0	Sandslash		forsaken_desert	True	False	True	False	
27	sandshrew	28	sandslash	1	Alolan Sandslash			True	True	False	False	
29	nidoran_f	29	nidoran_f	0	Nidoran♀		bramble_woods secret_garden	True	False	True	False	
29	nidoran_f	30	nidorina	0	Nidorina		secret_garden sleeping_caldera	True	False	True	False	
29	nidoran_f	31	nidoqueen	0	Nidoqueen		sleeping_caldera	True	False	True	False	
32	nidoran_m	32	nidoran_m	0	Nidoran♂		bramble_woods secret_garden	True	False	True	False	
32	nidoran_m	33	nidorino	0	Nidorino		secret_garden sleeping_caldera	True	False	True	False	
32	nidoran_m	34	nidoking	0	Nidoking		sleeping_caldera	True	False	True	False	
35	clefairy	35	clefairy	0	Clefairy		guildmaster_trail moonlit_courtyard secret_garden snowbound_path	True	False	True	False	
35	clefairy	36	clefable	0	Clefable		guildmaster_trail secret_garden snowbound_path	True	False	True	False	
35	clefairy	173	cleffa	0	Cleffa		guildmaster_trail secret_garden snowbound_path	True	False	True	False	
37	vulpix	37	vulpix	0	Vulpix		faded_trail guildmaster_trail sickly_hollow	True	False	True	False	
37	vulpix	37	vulpix	1	Alolan Vulpix		guildmaster_trail	True	False	True	False	
37	vulpix	38	ninetales	0	Ninetales		guildmaster_trail veiled_ridge	True	False	True	False	
37	vulpix	38	ninetales	1	Alolan Ninetales		snowbound_path	True	False	True	False	
39	jigglypuff	39	jigglypuff	0	Jigglypuff		guildmaster_trail	True	False	True	False	
