Key	Comment	EN	FR	DE	ES	PT	IT	KO	JA	JA-JP	ZH-HANS	ZH-HANT	RU	LT
ExclusiveItemEffect.Absorption		When kept in the bag, the Pokémon will regain HP after defeating an enemy.		Wenn es innerhalb des Beutels getragen wird, regenieren sich die KP des Pokémons nachdem es einen Gegner besiegt hat. 	Al llevarlo en la bolsa, el Pokémon regenerará PS tras derrotar a un enemigo.		Quando tenuto in borsa, il Pokémon guadagnerà PS dopo aver sconfitto un nemico.				放在包里时，击败对手后会回复HP。		
ExclusiveItemEffect.AcuteSniffer		When kept in the bag, it reveals the number of items laying on the ground the Pokémon reaches a new floor.		Wenn es innerhalb des Beutels getragen wird, informiert es dich über die Anzahl der Items, die auf der neuen Ebene verteilt sind.	Al llevarlo en la bolsa, revela el número de objetos en el suelo cuando el Pokémon llega a un nuevo piso. 		Quando tenuto in borsa, rivela il numero di strumenti sul terreno quando il Pokémon raggiunge un nuovo piano.				放在包里时，到达新楼层后会显示地上的道具数。		
ExclusiveItemEffect.AllTerrain		When kept in the bag, the Pokémon can traverse water, lava, and pits.		Wenn es innerhalb des Beutels getragen wird, kann das Pokémon über Wasser, Lava und Schluchten laufen.	Al llevarlo en la bolsa, el Pokémon puede atravesar agua, lava y agujeros. 		Quando tenuto in borsa, il Pokémon può attraversare acqua, lava, e buche.				放在包里时，宝可梦可以穿越水、岩浆和坑。		
ExclusiveItemEffect.AllyReviver		When kept in the bag, the Pokémon will revive a fallen ally when it reaches a new floor.		Wenn es innerhalb des Beutels getragen wird, kann das Pokémon einen Freund wiederbeleben, wenn es eine neue Ebene erreicht.	Al llevarlo en la bolsa, el Pokémon revivirá a un aliado caído cuando llega a un nuevo piso. 		Quando tenuto in borsa, il Pokémon riporterà in salute un alleato senza forze quando raggiunge un nuovo piano.				放在包里时，到达新楼层后会复活一个倒下的队友。		
ExclusiveItemEffect.AllyReviverBattle		When kept in the bag, the Pokémon will revive a fallen ally when it defeats an opponent.		Wenn es innerhalb des Beutels getragen wird, kann das Pokémon einen Freund wiederbeleben, sobald es einen Gegner besiegt.	Al llevarlo en la bolsa, el Pokémon revivirá a un aliado caído cuando derrote a un oponente. 		Quando tenuto in borsa, il Pokémon riporterà in salute un alleato senza forze quando sconfigge un avversario.				放在包里时，击败对手后会复活一个倒下的队友。		
ExclusiveItemEffect.Anchor		When kept in the bag, the Pokémon is prevented from being forced off its location.		Wenn es innerhalb des Beutels getragen wird, kann das Pokémon nicht von seiner aktuellen Position geschoben werden.	Al llevarlo en la bolsa, evita que el Pokémon sea expulsado de su localización. 		Quando tenuto in borsa, il Pokémon è immune all'essere mosso dalla sua posizione.				放在包里时，宝可梦不会被强制位移。		
ExclusiveItemEffect.AttackRangeInWeather		When kept in the bag, the Pokémon's Attack Range is increased when the floor has the {0} status.		Wenn es innerhalb des Beutels getragen wird, hat das Pokémon eine erhöhte Angriffsreichweite solange die Ebene den {0} Status hat.	Al llevarlo en la bolsa, el Rango de Ataque del Pokémon aumenta cuando el piso está en el estado {0}.		Quando tenuto in borsa, il Raggio degli attacchi del Pokémon aumenta quando il piano ha lo status {0}.				放在包里时，当楼层状态是{0}时，宝可梦的攻击范围就会增加。		
ExclusiveItemEffect.BarrageGuard		When kept in the bag, the Pokémon takes reduced damage from multiple attacks in a turn.		Wenn es innerhalb des Beutels getragen wird, nimmt das Pokémon weniger Schaden von mehreren Attacken innerhalb eines Zuges.	Al llevarlo en la bolsa, el Pokémon recibe menos daño por múltiples ataques en un turno.		Quando tenuto in borsa, il Pokémon prende meno danni dagli attacchi multipli nello stesso turno.				放在包里时，在一个回合内受到多次攻击时，伤害会降低。		
ExclusiveItemEffect.BetterOdds		When kept in the bag, the Pokémon's attacks never miss, and always land a critical hit if the move is on its last PP.		Wenn es innerhalb des Beutels getragen wird, kann das Pokémon niemals verfehlen und landet immer einen kritischen Treffer falls die Attacke nur noch 1 AP besetzen hat.	Al llevarlo en la bolsa, los ataques del Pokémon nunca fallan, y siempre acierta un golpe crítico cuando el movimiento está en su último PP.		Quando tenuto in borsa, gli attacchi del Pokémon non mancano mai il bersaglio, e nel caso sia l'ultimo PP, la mossa sarà sempre un brutto colpo.				放在包里时，攻击永远会命中。如果招式只剩1点PP，一定会击中要害。		
ExclusiveItemEffect.Celebrate		When kept in the bag, the Pokémon will be able to move again after defeating an enemy.		Wenn es innerhalb des Beutels getragen wird, erhält das Pokémon einen weiteren Zug nachdem es einen Gegner besiegt.	Al llevarlo en la bolsa, el Pokémon será capaz de moverse otra vez tras derrotar a un enemigo.		Quando tenuto in borsa, il Pokémon sarà in grado di muoversi di nuovo dopo aver sconfitto un nemico.				放在包里时，在击败对手后能够再次移动。		
ExclusiveItemEffect.CelebrateCure		When kept in the bag, the Pokémon will recover from status effects after defeating an enemy.		Wenn es innerhalb des Beutels getragen wird, erholt sich das Pokémon von Statuseffekten nachdem ein Gegner besiegt wurde.	Al llevarlo en la bolsa, el Pokémon se recuperará de sus problemas de estado tras derrotar a un enemigo.		Quando tenuto in borsa, il Pokémon guarirà da ogni problema di stato dopo aver sconfitto un nemico.				放在包里时，在击败对手后能够治愈异常状态。		
