Key		EN	DE	ES	ZH-HANS	FR	IT	KO	JA	JA-JP	ZH-HANT
0000-none-0000|data.Name		None	Keine	Ninguno	无						
0000-none-0001|data.Desc											
0001-stench-0000|data.Name		Stench	Duftnote	Hedor	恶臭	Puanteur	Tanfo	악취	あくしゅう	あくしゅう	惡臭
0001-stench-0001|data.Desc		Contact with the Pokémon may cause flinching.	Lässt den Gegner bei Berührung eventuell zurückschrecken.		与其接触的宝可梦可能会导致畏缩。			악취 때문에 접촉한 상대가 풀죽을 때가 있다.			
0002-drizzle-0000|data.Name		Drizzle	Niesel	Llovizna	降雨	Crachin	Piovischio	잔비	あめふらし	あめふらし	降雨
0002-drizzle-0001|data.Desc		The Pokémon makes it rain when it is battling.	Das Pokémon lässt es regnen, sobald es sich im Kampf befindet.		战斗时，会将天气变为下雨。			포켓몬이 싸우는 동안 비를 내린다.			
0003-speed_boost-0000|data.Name		Speed Boost	Temposchub	Impulso	加速	Turbo	Acceleratore	가속	かそく	かそく	加速
0003-speed_boost-0001|data.Desc		The Pokémon's Movement Speed is increased.	Das Tempo des Pokémons ist erhöht.		提高宝可梦的移动速度。			포켓몬의 행동속도가 증가한다,			
0004-battle_armor-0000|data.Name		Battle Armor	Kampfpanzer	Armadura Batalla	战斗盔甲	Armurbaston	Lottascudo	전투무장	カブトアーマー	カブトアーマー	戰鬥盔甲
0004-battle_armor-0001|data.Desc		Hard armor protects the Pokémon from critical hits.	Wehrt gegnerische Volltreffer mit einem harten Panzer ab.	La robusta coraza que lo protege bloquea los golpes críticos.	被坚硬的甲壳守护着，不会被对手的攻击击中要害。	Le Pokémon est protégé des coups critiques par une solide carapace.	Il Pokémon è protetto da una dura corazza che gli evita di subire brutti colpi.	단단한 껍질에 보호받아 상대의 공격이 급소에 맞지 않는다.	かたい　こうらに　まもられて あいての　こうげきが きゅうしょに　あたらない。	硬い　甲羅に　守られて 相手の　攻撃が 急所に　当たらない。	被堅硬的甲殼守護著， 不會被對手的攻擊擊中要害。
0005-sturdy-0000|data.Name		Sturdy	Robustheit	Robustez	结实	Fermeté	Vigore	옹골참	がんじょう	がんじょう	結實
0005-sturdy-0001|data.Desc		The Pokémon cannot be knocked out with one hit.	Bietet Schutz gegen K.O.-Treffer.	Evita que el rival pueda debilitarle de un solo golpe.	不会被对手一击必杀。	Protège des capacités mettant K.O. en un coup.	Evita che il Pokémon vada KO in un sol colpo.	일격으로 쓰러지지 않는다.	いちげきで たおされない。	一撃で　倒されない。 	
0006-damp-0000|data.Name		Damp	Feuchtigkeit	Humedad	湿气	Moiteur	Umidità	습기	しめりけ	しめりけ	濕氣
0006-damp-0001|data.Desc		Prevents explosions and other forms of splash damage.	Verhindert Explosionen und ähnliche Formen von Bereichsschaden.		防止爆炸和其他形式的溅射伤害。			폭발이나 비슷한 범위 공격을 상쇄한다.			
0007-limber-0000|data.Name		Limber	Flexibilität	Flexibilidad	柔软	Échauffement	Scioltezza	유연	じゅうなん	じゅうなん	柔軟
0007-limber-0001|data.Desc		Its limber body protects the Pokémon from paralysis.	Der flexible Körper des Pokémon schützt es vor Paralyse.	Evita ser paralizado gracias a la flexibilidad de su cuerpo.	因为身体柔软，不会变为麻痹状态。	Le Pokémon s’est suffisamment échauffé, ce qui l’immunise contre la paralysie.	Il corpo flessibile del Pokémon gli impedisce di subire gli effetti della paralisi.	유연한 몸으로 인해 마비 상태가 되지 않는다.	じゅうなんな　からだによって まひ　じょうたいに　ならない。	柔軟な　体によって まひ状態に　ならない。	因為身體柔軟， 不會陷入麻痺狀態。
