Key		EN	FR	DE	ES	PT	KO	IT	JA	JA-JP	ZH-HANS	ZH-HANT
0001-empty-0000|data.Name		Empty	Vide	Leer	Vacío	Vazio	비었음					
0001-empty-0001|data.Desc												
0001-food_apple-0000|data.Name		Apple	Pomme	Apfel	Manzanita	Maçã	사과	Mela				
0001-food_apple-0001|data.Desc		A food item that somewhat fills the Pokémon's belly.	Aliment remplissant correctement l'Estomac du Pokémon.	Nahrungsmittel, dass den Magen des Pokémon etwas füllt.	Alimento que llena algo la Tripa del Pokémon.	Um alimento que enche a Barriga do Pokémon um pouco.	먹으면 포만감이 약간 회복된다.					
0001-food_apple_big-0000|data.Name		Big Apple	Grosse Pomme	Großer Apfel	Manzana	Maçã Grande	큰사과	Melagrande				
0001-food_apple_big-0001|data.Desc		A food item that amply fills the Pokémon's belly.	Aliment remplissant amplement l'Estomac du Pokémon.	Nahrungsmittel, dass den Magen des Pokémon reichlich füllt.	Alimento que llena del todo la Tripa del Pokémon.	Um alimento que enche a Barriga do Pokémon por completo.	먹으면 포만감이 꽤 회복된다.					
0001-food_apple_golden-0000|data.Name		Golden Apple	Pomme d'Or	Goldener Apfel	Manzana Oro	Maçã Dourada	황금사과	Mela Dorata				
0001-food_apple_golden-0001|data.Desc		A miraculous apple that glows with an alluring golden aura. It's far too precious and beautiful to even consider eating! If eaten, however, it would completely fill and greatly enlarge the Pokémon's belly.	Pomme miraculeuse dont émane une séduisante aura dorée. Elle est vraiment trop belle et trop précieuse, pas question de la manger! Cependant, si elle était mangée, elle remplirait complètement l'Estomac du Pokémon et en agrandirait beaucoup la taille.	Ein wundersamer Apfel, den eine verlockende, leuchtende Aura umgibt. Er ist viel zu kostbar und schön, um verspeist zu werden! Sollte er trotzdem gegessen werden, würde er den Magen des Pokémon vollständig füllen und ihn in hohem Maße erweitern.	Manzana milagrosa que brilla con una atrayente aura dorada. ¡Es demasiado preciosa para considerar comérsela! Sin embargo, si se come, llena por completo y amplia mucho la Tripa del Pokémon.	Uma maçã milagrosa que brilha com uma aura dourada atraente. É preciosa e bonita demais para se pensar em comer ela! Se consumida, entretanto, ela encheria e expandiria incrívelmente a Barriga do Pokémon.	황금 광택을 띠는 기적의 사과. 너무 아름다워서 먹기 아깝다. 먹으면 포만감이 완전히 회복되고 배부름의 최대치도 매우 늘어날 것이다.					
0001-food_apple_huge-0000|data.Name		Huge Apple	Pomme Géante	Riesenapfel	Manzanota	Maçã Gigante	특대사과	Gigantomela				
0001-food_apple_huge-0001|data.Desc		A food item that completely fills and slightly enlarges the Pokémon's belly.	Alimant remplissant entièrement et aggrandissant légèrement l'estomac du Pokémon.	Nahrungsmittel, das den Magen des Pokémon vollständig füllt. Erweitert das Magenvolumen des Pokémon ein wenig.	Alimento que llena del todo y amplia ligeramente la Tripa del Pokémon.	Um alimento que enche e ligeiramente expande a Barriga do Pokémon.						
0001-food_apple_perfect-0000|data.Name		Perfect Apple	Pomme Parfaite	Perfekter Apfel	Manzana Perfecta	Maçã Perfeita	거대사과	Mela Perfetta	セカイイチ			
0001-food_apple_perfect-0001|data.Desc		A food item that completely fills and somewhat enlarges the Pokémon's belly.			Alimento que llena del todo y amplia un poco la Tripa del Pokémon.	Um alimento que enche por completo, e expande a Barriga do Pokémon.						
0001-food_banana-0000|data.Name		Banana	Banane	Banane	Plátano	Banana	바나나	Banana				
0001-food_banana-0001|data.Desc		A rare food item that somewhat fills the entire team's belly.	Aliment rare repmplissant légèrement l'Estomac de chaque Pokémon de l'équipe.	Ein seltenes Nahrungsmittel, welches den Magen des gesamten Teams etwas füllt.	Alimento raro que llena algo la Tripa de todo el equipo.	Um alimento raro que enche um pouco a Barriga de toda a Equipe.	동료 전원의 포만감을 약간 회복하는 귀한 음식.					
0001-food_banana_big-0000|data.Name		Big Banana	Grosse Banane	Große Banane	Gran Plátano	Banana Grande	큰바나나					
0001-food_banana_big-0001|data.Desc		A rare food item that amply fills the entire team's belly.	Aliment rare remplissant et remplissant entièrement l'Estomac de chaque Pokémon de l'équipe.	Ein seltenes Nahrungsmittel, welches den Magen des gesamten Teams reichlich füllt.	Alimento raro que llena por completo la Tripa de todo el equipo.	Alimento raro que enche por completo a Barriga de toda a Equipe.	동료 전원의 포만감을 꽤 회복하는 귀한 음식.					
0001-food_banana_golden-0000|data.Name		Golden Banana	Banane d'Or	Goldene Banane	Plátano Dorado	Banana Dourada	황금바나나	Banana d'Oro	おうごんのバナナ			
0001-food_banana_golden-0001|data.Desc		An alluring banana that gives off a golden glow. It's valued far more as a treasure than as a food. If eaten, however, it would completely fill and enlarge the entire team's belly.	Une banane séduisante qui dégage une lueur dorée. Elle est bien plus appréciée en tant que trésor qu'en tant que nourriture. Si elle était mangée, cependant, elle remplirait et élargirait complètement l'Estomac de chaque Pokémon de l'équipe.									
0001-food_chestnut-0000|data.Name		Chestnut	Châtaigne	Kastanie	Castaña	Castanha	밤송이	Castagna				
0001-food_chestnut-0001|data.Desc												
0002-berry_apicot-0000|data.Name		Apicot Berry	Baie Abriko	Apikobeere	Baya Aricoc		규살열매	Baccacocca	ズアのみ	ズアのみ	杏仔果	杏仔果
