Key	Comment	EN	FR	DE	ES	PT	IT	KO	JA	JA-JP	ZH-HANS	ZH-HANT	RU
0000-blizzard-0000|data.Name	Not displayed to players.	Blizzard		Blizzard	Ventisca		Tormenta				暴风雪			
0000-blizzard-0001|data.Desc											
0000-clear-0000|data.Name		Clear	Clair	Klar	Despejado		Sereno				晴朗
0000-clear-0001|data.Desc		The weather is clear.	Clair.	Das Wetter ist klar.	El tiempo está despejado.		Il tempo è Sereno.				天气很晴朗。
0000-clouds_overhead-0000|data.Name		Clouds Overhead									多云
0000-clouds_overhead-0001|data.Desc											
0000-cloudy-0000|data.Name	Not displayed to players.	Cloudy	Nuageux	Wolkig	Nublado						阴天
0000-cloudy-0001|data.Desc		Moves of all types are weakened, except the Normal-type.									一般属性之外的招式威力降低了。
0000-dark-0000|data.Name		Dark			Oscuro						黑暗
0000-dark-0001|data.Desc											
0000-default_mapstatus-0000|data.Name	Not displayed to players.  Low Priority.	Default MapStatus			Estado del Mapa por defecto						默认地图状态
0000-default_mapstatus-0001|data.Desc											
0000-default_weather-0000|data.Name	Not displayed to players.  Low Priority.	Default Weather			Tiempo por defecto						默认天气
0000-default_weather-0001|data.Desc											
0000-electric_terrain-0000|data.Name		Electric Terrain	Champ Électrifié	Elektrofeld	Campo Eléctrico		Campo Elettrico				电气场地
0000-electric_terrain-0001|data.Desc		Electric-type attacks are boosted, and all Pokémon on the floor cannot sleep.	Les attaques de type Électrik sont boostées et les Pokémon de l'étage ne peuvent pas s'endormir.	Elektro-Attacken sind verstärkt und alle Pokémon auf der Ebene können nicht schlafen.	Los ataques de tipo eléctrico se potencian, y todos los Pokémon en el suelo no pueden dormir.		La potenza delle mosse di tipo Elettro aumenta. Tutti i Pokémon che si trovano nel piano non possono dormire.				电属性攻击威力提高，地面上的宝可梦无法入眠。
0000-foe_fov-0000|data.Name		Foe FOV									
0000-foe_fov-0001|data.Desc											
0000-fog-0000|data.Name	Not displayed to players.	Fog	Brouillard	Nebel	Niebla		Nebbia				起雾
0000-fog-0001|data.Desc											
