Key		EN	DE	PT	IT	ZH-HANS	FR	ES	KO	JA	JA-JP	ZH-HANT
0000-attack-0000|data.Name		Attack	Angriff	Golpe	Attacco	攻击						
0000-attack-0001|data.Desc		A regular attack.	Ein normaler Angriff.	Um golpe normal.	Un normale attacco.	普通的攻击。						
0001-pound-0000|data.Name		Pound	Pfund	Tapa	Botta	拍击	Écras'Face	Destructor	막치기	はたく	はたく	拍擊
0001-pound-0001|data.Desc		The target is physically pounded with a long tail, a foreleg, or the like.	Ein Hieb mit den Vorderbeinen oder dem Schweif.	O alvo é golpeado com uma cauda longa, uma perna dianteira, ou similar.	Il Pokémon attacca il bersaglio con la coda o le zampe anteriori.	使用长长的尾巴或手等拍打对手进行攻击。	Écrase l’ennemi avec les pattes avant ou la queue, par exemple.	Golpea con las patas o la cola.	긴 꼬리나 손 등을 사용하여 상대를 때려서 공격한다.	ながい　しっぽや　てなどを　つかって あいてを　はたいて　こうげきする。	長い　しっぽや　手などを　使って 相手を　はたいて　攻撃する。	使用長長的尾巴或手等 拍打對手進行攻擊。
0002-karate_chop-0000|data.Name		Karate Chop	Karateschlag	Golpe de Karatê	Colpokarate	空手劈	Poing-Karaté	Golpe Kárate	태권당수	からてチョップ	からてチョップ	空手劈
0002-karate_chop-0001|data.Desc		The target is attacked with a sharp chop. Critical hits land more easily.	Gute Möglichkeit, einen Volltreffer zu landen.	O alvo é atingido por um golpe afiado. Acertos críticos acontecem mais frequentemente do que o normal.	Il Pokémon attacca il bersaglio con un colpo netto. Probabile brutto colpo.	用锋利的手刀劈向对手进行攻击。容易击中要害。	L’ennemi est tranché violemment. Taux de critiques élevé.	Da un golpe cortante. Suele ser crítico.	날카로운 당수로 상대를 때려서 공격한다. 급소에 맞기 쉽다.	するどい　チョップで あいてを　たたいて　こうげきする。 きゅうしょに　あたりやすい。	鋭い　チョップで 相手を　たたいて　攻撃する。 急所に　当たりやすい。	用鋒利的手刀 劈向對手進行攻擊。 容易擊中要害。
0003-double_slap-0000|data.Name		Double Slap	Duplexhieb	Tapa Duplo	Doppiasberla	连环巴掌	Torgnoles	Doble Bofetón	연속뺨치기	おうふくビンタ	おうふくビンタ	連環巴掌
0003-double_slap-0001|data.Desc		The target is slapped repeatedly, back and forth, four times in a row.	Trifft das Ziel viermal hintereinander mit einem Duplexhieb.	O alvo é esbofeteado repetidamente, quatro vezes seguidas.	Il Pokémon schiaffeggia il bersaglio quattro volte di fila.	用连环巴掌拍打对手进行攻击。连续攻击4次。			연속 뺨치기로 상대를 때려서 공격한다. 4회 동안 연속으로 쓴다.	おうふく　ビンタで あいてを　たたいて　こうげきする。 4かいの　あいだ　れんぞくで　だす。	おうふく　ビンタで 相手を　たたいて　攻撃する。 4回の　あいだ　連続で　だす。	用連環巴掌 拍打對手進行攻擊。 會連續攻擊 4 次。
0004-comet_punch-0000|data.Name		Comet Punch	Kometenhieb	Soco Cometa	Cometapugno	连续拳	Poing Comète	Puño Cometa	연속펀치	れんぞくパンチ	れんぞくパンチ	連續拳
0004-comet_punch-0001|data.Desc		The target is hit with a flurry of punches that strike four times in a row.	Trifft das Ziel viermal hintereinander mit kräftigen Hieben.	Uma sequência de socos, que atinge o alvo quatro vezes seguidas.	Il Pokémon attacca il bersaglio con una scarica di pugni quattro volte di fila.	用拳头怒涛般的殴打对手进行攻击。连续攻击4次。			노도 같은 펀치로 상대를 세게 때려서 공격한다. 4회 동안 연속으로 쓴다.	どとうの　パンチで あいてを　なぐりつけて　こうげきする。 4かいの　あいだ　れんぞくで　だす。	どとうの　パンチで 相手を　なぐりつけて　攻撃する。 4回の　あいだ　連続で　だす。	用怒濤般的拳頭 毆打對手進行攻擊。 連續攻擊 4 次。
0005-mega_punch-0000|data.Name		Mega Punch	Megahieb	Megassoco	Megapugno	百万吨重拳	Ultimapoing	Megapuño	메가톤펀치	メガトンパンチ	メガトンパンチ	百萬噸重拳
0005-mega_punch-0001|data.Desc		The target is slugged by a punch thrown with muscle-packed power.	Ein unglaublich kräftiger Hieb.	Acerta o alvo com um soco extremamente forte.	Il Pokémon attacca il bersaglio con un pugno poderoso.	用充满力量的拳头攻击对手。	L’ennemi reçoit un coup de poing d’une puissance incroyable.	Un puñetazo de gran potencia.	힘을 담은 펀치로 상대를 공격한다.	ちからを　こめた　パンチで あいてを　こうげきする。	力を　こめた　パンチで 相手を　攻撃する。	用帶有強大力量的拳頭 攻擊對手。
0006-pay_day-0000|data.Name		Pay Day	Zahltag	Dia de Pagamento	Giornopaga	聚宝功	Jackpot	Día de Pago	고양이돈받기	ネコにこばん	ネコにこばん	聚寶功
0006-pay_day-0001|data.Desc		Numerous coins are hurled at the target to inflict damage. It causes the target to drop a portion of its money.	Das Ziel wird mit Münzen beworfen, wodurch es Schaden erleidet und einen Teil seines Geldes verliert.	Inúmeras moedas são lançadas para infligir dano ao alvo. Faz com que o alvo derrube parte de seu dinheiro.	Il Pokémon attacca il bersaglio con una gran quantità di monete. Il bersaglio lascia cadere parte dei suoi soldi.	向对手的身体投掷小金币进行攻击。对手会掉落一些钱。			상대의 몸에 돈을 세게 던져서 공격한다. 상대가 보유한 돈의 일부를 떨어뜨리게 한다.			
0007-fire_punch-0000|data.Name		Fire Punch	Feuerschlag	Soco de Fogo	Fuocopugno	火焰拳	Poing de Feu	Puño Fuego	불꽃펀치	ほのおのパンチ	ほのおのパンチ	火焰拳
0007-fire_punch-0001|data.Desc		The target is punched with a fiery fist. This may also leave the target with a burn.	Feuriger Schlag, der dem Ziel eventuell Verbrennungen zufügt.	O alvo é socado com um punho ardente. Possui chance de queimar o alvo.	Il Pokémon attacca il bersaglio con un pugno ardente che può scottarlo.	用充满火焰的拳头攻击对手。有时会让对手陷入灼伤状态。	Un coup de poing enflammé vient frapper l’ennemi. Peut le brûler.	Puñetazo ardiente. Puede quemar.	불꽃을 담은 펀치로 상대를 공격한다. 화상 상태로 만들 때가 있다.	ほのおを　こめた　パンチで あいてを　こうげきする。 やけど　じょうたいに　することが　ある。	炎を　こめた　パンチで 相手を　攻撃する。 やけど状態に　することが　ある。	用帶有火焰的拳頭 攻擊對手。 有時會讓對手陷入灼傷狀態。
0008-ice_punch-0000|data.Name		Ice Punch	Eishieb	Soco de Gelo	Gelopugno	冰冻拳	Poing-Glace	Puño Hielo	냉동펀치	れいとうパンチ	れいとうパンチ	冰凍拳
0008-ice_punch-0001|data.Desc		The target is punched with an icy fist. This may also leave the target frozen.	Ein eisiger Schlag, der das Ziel eventuell einfriert.	O alvo é socado com um punho congelante. Possui chance de congelar o alvo.	Il Pokémon attacca il bersaglio con un pugno di ghiaccio che può congelarlo.	用充满寒气的拳头攻击对手。有时会让对手陷入冰冻状态。	Un coup de poing glacé vient frapper l’ennemi. Peut le geler.	Puñetazo helado. Puede congelar.	냉기를 담은 펀치로 상대를 공격한다. 얼음 상태로 만들 때가 있다.	れいきを　こめた　パンチで あいてを　こうげきする。 こおり　じょうたいに　することが　ある。	冷気を　こめた　パンチで 相手を　攻撃する。 こおり状態に　することが　ある。	用帶有寒氣的拳頭 攻擊對手。 有時會讓對手陷入冰凍狀態。
0009-thunder_punch-0000|data.Name		Thunder Punch	Donnerschlag	Soco Trovoada	Tuonopugno	雷电拳	Poing-Éclair	Puño Trueno	번개펀치	かみなりパンチ	かみなりパンチ	雷電拳
