Key	Comment	EN	FR	DE	ES	PT	IT	KO	JA	JA-JP	ZH-HANS	ZH-HANT	RU
0000-all_protect-0000|data.Name		All Protect					Proteggitutti				全面保护																	
0000-all_protect-0001|data.Desc		The Pokémon is protected from all moves. This status wears off after a few turns.					Il Pokémon è protetto da tutte le mosse. Questo stato svanisce dopo un po' di turni.				这只宝可梦受到了保护，不会受到任何招式影响。该状态在几回合后解除。																	
0000-aqua_ring-0000|data.Name		Aqua Ring	Anneau Hydro	Wasserring	Acua Aro		Acquanello				水流环																	
0000-aqua_ring-0001|data.Desc		The Pokémon is surrounded by a veil of water that gradually restores its HP. This status wears off after a few turns.	Le Pokémon est entouré d'un anneau d'eau qui restaure régulièrement ses PV. Ce statut disparaît après quelques tours.	Das Pokémon ist mit einem Schleier aus Wasser umgeben, wodurch es stetig KP regeneriert. Dieser Status lässt nach einigen Zügen nach.	El Pokémon está rodeado por un manto de agua que restaura gradualmente sus PS. Este estado desaparece tras unos turnos.		Il Pokémon è circondato da un velo d'acqua che ripristina i PS un po' alla volta. Questo stato svanisce dopo un po' di turni.				这只宝可梦的身体周围覆盖着可逐渐回复HP的水幕。该状态在几回合后解除。																	
0000-area_counter-0000|data.Name		Area Counter	Riposte Zone	Bereichskonter			Contrattacco ad Area				区域奉还																	
0000-area_counter-0001|data.Desc		All damage done to this Pokémon of a certain category of moves will be reflected on all foes within 3 tiles. This status wears off after many turns have passed.		Jeglicher Schaden einer bestimmten Kategorie, der an diesem Pokémon verursacht wurde, wird an alle Gegner innerhalb von 3 Feldern reflektiert. Dieser Status lässt nach vielen Zügen nach.			Tutti i danni subiti da una certa categoria di mosse vengono restituiti contro tutti i nemici nel raggio di 3 caselle dal Pokémon. Questo stato svanisce dopo diversi turni.				对这只宝可梦造成的所有伤害都会奉还到周围3格内的对手上。该状态在几回合后解除。																	
0000-attack_response-0000|data.Name		Attack Response																										
0000-attack_response-0001|data.Desc																												
0000-belch-0000|data.Name		Belch	Éructation	Rülpser	Eructo		Rutto				打嗝																	
0000-belch-0001|data.Desc		The Pokémon is ready to belch, unleashing the attack whenever it eats a food item. This status wears off after a few turns.	Le Pokémon est prêt à éructer et libère l'attaque dès qu'il mange un aliment. Ce statut disparaît après quelques tours.	Das Pokémon ist bereit zu rülpsen, wodurch es jedes Mal, wenn es etwas isst, eine Attacke auszulöst. Dieser Status lässt nach einigen Zügen nach.	El Pokémon está listo para eructar, desatando el ataque siempre que coma un objeto comida. Este estado desaparece tras unos turnos. 		Il Pokémon è pronto a ruttare, rilasciando un attacco ogni qualvolta che mangia un cibo. Questo stato svanisce dopo un po' di turni.				这只宝可梦正在准备打嗝，吃掉食物后就会发动攻击。该状态在几回合后解除。																	
0000-biding-0000|data.Name		Biding	Patience	Geduld	Venganza		Pazienza				忍耐																	
0000-biding-0001|data.Desc		The Pokémon is storing energy for an attack. In a few turns, it will unleash the energy, doing double the amount of damage it took while biding.	Le Pokémon patiente et encaisse les coups. Après plusieurs tours, il attaque occasionnant le double des dégâts qu'il à subit en pendant sa Patience	Das Pokémon speichert Energie für einen Angriff. In einigen Zügen wird es seine Energie entfesseln. Der Schaden, den es während Geduld erhalten hat, wird mit doppelter Kraft zugefügt.	El Pokémon está acumulando energía para un ataque. En unos turnos liberará la energía, haciendo el doble del daño recibido durante este estado.		Il Pokémon si trattiene per un po' di tempo per poi rilasciare tutta la sua energia e arrecare il doppio dei danni subiti durante l'attesa.				这只宝可梦正在为一次攻击储存能量。几回合后将会释放能量，造成的伤害是忍耐期间所受到伤害的两倍。																	
0000-bind-0000|data.Name	This string needs to fit in MSG_TRAP_END, ex. "Bulbasaur was freed from Bind!"	Bind		gefesselt			Immobilizzato				绑紧																	
0000-bind-0001|data.Desc		The Pokémon is rendered incapable of any action, and takes gradual damage from the foe. This status wears off after a few turns.	Le Pokémon est incapable d'effectuer une action et subit des dégâts progressifs de l'ennemi. Ce statut disparaît après quelques tours.	Das Pokémon ist unfähig, jegliche Handlung zu durchführen und nimmt vom Gegner stetig Schaden. Dieser Status lässt nach einigen Zügen nach.	El Pokémon es incapaz de realizar ninguna acción, y recibe daño gradual del enemigo. Este estado desaparece tras unos turnos.		Il Pokémon non può compiere nessuna azione e subisce dei danni dall'avversario. Questo stato svanisce dopo un po' di turni.				这只宝可梦无法做任何事情，并且会持续受到对手的伤害。该状态在几回合后解除。																	
0000-blinker-0000|data.Name		Blinker	Ébloui	Geblendet	Ceguera		Tenebra				失明																	
0000-blinker-0001|data.Desc		The Pokémon has its Attack Range limited, allowing it to hit only targets in front. This status wears off after many turns have passed.	La portée des attaques du Pokémon est diminuée, il ne peut attaquer que les ennemis proches de lui. Ce statut disparaît après plusieurs tours.	Die Reichweite des Pokémon ist eingeschränkt, wodurch es ausschließlich Ziele direkt vor ihm treffen kann. Dieser Status lässt nach vielen Zügen nach.	El Pokémon tiene su Rango de Ataque limitado, permitiendole golpear sólo a objetivos enfrente suya. Este estado desaparece tras pasar varios turnos.		Il raggio del Pokémon è limitato, consentendogli di colpire solo i nemici che ha di fronte. Questo stato svanisce dopo un po' di turni.				这只宝可梦的攻击范围受限，只能攻击前方的对手。该状态在几回合后解除。																	
0000-bouncing-0000|data.Name		Bouncing	Rebond	Springend	Botando		Rimbalzo				弹跳																	
0000-bouncing-0001|data.Desc		The Pokémon is in mid-air from a bounce and can avoid most moves. It will unleash the move on its next turn.	Le Pokémon est en plein rebond et peut éviter la plupart des attaques. Il libère l'attaque au prochain tour.	Das Pokémon ist durch einen Sprung in der Luft und kann dadurch den meisten Angriffen und Hindernissen ausweichen. Es wird die Attacke in der nächsten Runde ausführen.	El Pokémon está en el aire de un bote y puede esquivar muchos movimientos. Liberará el movimiento en el siguiente turno.		Il Pokémon si alza in volo, evitando la maggior parte delle mosse, per poi attaccare al turno successivo.				这只宝可梦高高地跳到半空，可以躲避大多数招式。下回合将使出弹跳。																	
0000-burn-0000|data.Name		Burned	Brûlé	Brennend	Quemado	Queimado	Scottatura				灼伤																	
0000-burn-0001|data.Desc		The Pokémon will take some damage every turn it attacks, and its Attack will be lowered.				O Pokémon receberá um pouco de dano a cada turno que atacar, e seu Ataque cairá.	Il Pokémon subisce dei danni ogni turno in cui attacca e il suo Attacco diminuisce.				这只宝可梦每攻击一次都会受到伤害，且攻击会下降。																	
0000-charge-0000|data.Name		Charge	Chargeur	Aufgeladen	Carga		Sottocarica				充电																	
