Key		EN	DE	ZH-HANS	FR	ES	IT	JA	JA-JP	KO
0000-area_script-0000|data.Name		Script Trigger	Script Auslöser	脚本触发器						
0000-area_script-0001|data.Desc										
0000-area_shop-0000|data.Name		Shop Tile	Ladenfeld	商店地板	Case Magasin	Baldosa Tienda	Casella magazzino	カクレオンのみせ	カクレオンのみせ	
0000-area_shop-0001|data.Desc										
0000-chest_empty-0000|data.Name		Empty Chest	Leere Truhe	空大宝箱	Coffre Vide	Cofre Vacío	Scrigno vuoto			빈 상자
0000-chest_empty-0001|data.Desc										
0000-chest_full-0000|data.Name		Treasure Chest	Schatztruhe	大宝箱	Coffre aux trésors	Cofre del Tesoro	Scrigno del Tesoro			보물상자
0000-chest_full-0001|data.Desc										
0000-none-0000|data.Name		None	Keines	无	Aucun	Ninguno	Nessuno	なし	無し	효과없음
0000-none-0001|data.Desc		This tile has no effect.	Dieses Feld hat keinen Effekt.	这个地板没有效果。	Cette case n'a aucun effet!	Esta baldosa no tiene efecto.	Questa casella non ha alcun effetto.	このゆかでは、なにもおこりません。	この床では、何も起こりません。	이 타일은 아무런 효과도 없다.
0000-sealed_block-0000|data.Name		Sealed Block	Versiegelter Block	门	Bloc Scellé	Bloque Sellado	Blocco sigillato			봉인된블럭
0000-sealed_block-0001|data.Desc										
0000-sealed_door-0000|data.Name		Sealed Door	Versiegelte Tür	钥匙门	Porte Scellée	Puerta Sellada	Porta sigillata			봉인된문
0000-sealed_door-0001|data.Desc										
0000-sealed_guild-0000|data.Name		Guild Gate	Gildentor	公会大门	Porte de la Guilde					
0000-sealed_guild-0001|data.Desc										
0000-sign-0000|data.Name		Sign	Schild	标牌	Panneau	Letrero	Cartello			
0000-sign-0001|data.Desc										
0000-stairs_back_down-0000|data.Name		Stairs	Treppe	楼梯	Escaliers	Escaleras	Scale			계단
0000-stairs_back_down-0001|data.Desc		Stairs leading to the previous floor. If you are on the first floor, you will escape from the dungeon.	Stufen, die zur vorigen Ebene führen. Bist du auf der ersten Ebene, wirst du aus dem Dungeon entkommen.	通向上一层的楼梯。如果在顶层，就会直接离开迷宫。	Escaliers menant à l'étage précédent. Si vous êtes au premier étage, vous pourrez vous échapper du donjon.		Scale che portano al piano precedente. Se sei nel primo piano uscirai dal dungeon.			
0000-stairs_back_up-0000|data.Name		Stairs	Treppe	楼梯	Escaliers	Escaleras	Scale			계단
