Key	Comment	EN	FR	DE	ES	PT	IT	KO	JA	JA-JP	ZH-HANS	ZH-HANT	RU
0000-0000|data.Name		Debug		Debug	Debug
0000-0001|((FloorNameIDZoneStep)data.Segments[0000].ZoneSteps[0000]).Name		Debug Dungeon\n{0}F		Debug-Verlies\n{0}.OG	Mazmorra Debug\nP{0}				
0001-0000|data.Name		Guildmaster Island	Île du Maître de la Guilde	Gildenmeister-Insel	Isla Maestro
0002-0000|data.Name		Tropical Path		Tropischer Pfad	Paso Tropical
0002-0001|((FloorNameIDZoneStep)data.Segments[0000].ZoneSteps[0001]).Name		Tropical Path\n{0}F		Tropischer Pfad\n{0}.OG	Paso Tropical\nP{0}				
0002-0002|((FloorNameIDZoneStep)data.Segments[0001].ZoneSteps[0000]).Name		Secret Room			
0003-0000|data.Name		Faded Trail		Verbleichender Pfad	Sendero Desvanecido 
0003-0001|((FloorNameIDZoneStep)data.Segments[0000].ZoneSteps[0001]).Name		Faded Trail\n{0}F		Verbleichender Pfad\n{0}.OG	Sendero Desvanecido\nP{0}				
0003-0002|((FloorNameIDZoneStep)data.Segments[0001].ZoneSteps[0001]).Name		Hidden Trail\nB{0}F			
0004-0000|data.Name		Flyaway Cliffs		Geladene Klippen	Acantilado Nido
0004-0001|((FloorNameIDZoneStep)data.Segments[0000].ZoneSteps[0001]).Name		Flyaway Cliffs\n{0}F		Geladene Klippen\n{0}.OG	Acantilado Nido\nP{0}				
0005-0000|data.Name		Thunderstruck Pass		Donnerschlag-Übergang	Senda Atónita
0005-0001|((FloorNameIDZoneStep)data.Segments[0000].ZoneSteps[0001]).Name		Thunderstruck Pass\n{0}F		Donnerschlag-Übergang {0}.OG	Senda Atónita\nP{0}				
0006-0000|data.Name		Illusion Ridge		Illusionsstrecke	Cordillera Ilusión
0006-0001|((FloorNameIDZoneStep)data.Segments[0000].ZoneSteps[0001]).Name		Illusion Ridge\n{0}F		Illusionsstrecke\n{0}.OG	Cordillera Ilusión\nP{0}				
0007-0000|data.Name		Champion's Road		Pfad des Champions	Ruta del Campeón
0007-0001|((FloorNameIDZoneStep)data.Segments[0000].ZoneSteps[0001]).Name		Champion's Road\n{0}F		Pfad des Champions\n{0}.OG	Ruta del Campeón\nP{0}				
