Key		EN	DE	ES	IT	ZH-HANS	FR
0000-ambush_forest-0000|data.Name		Ambush Forest	Auflauerwald	Bosque Emboscada	Foresta Agguato	埋伏森林	
0000-ambush_forest-0001|((FloorNameIDZoneStep)data.Segments[0000].ZoneSteps[0001]).Name		Ambush Forest\nB{0}F	Auflauerwald\n{0}.KG	Bosque Emboscada\nP-{0}	Foresta Agguato\1nP-{0}	埋伏森林\nB{0}F	
0000-barren_tundra-0000|data.Name		Barren Tundra		Tundra Árido	Tundra Desolata		
0000-barren_tundra-0001|((FloorNameIDZoneStep)data.Segments[0000].ZoneSteps[0001]).Name		Barren Tundra\n{0}F		Tundra Árido\nP{0}	Tundra Desolata\1nP{0}		
0000-bramble_woods-0000|data.Name		Bramble Woods		Bosque Zarza	Foresta Rovospino	荆棘树林	
0000-bramble_woods-0001|((FloorNameIDZoneStep)data.Segments[0000].ZoneSteps[0001]).Name		Bramble Woods\nB{0}F		Bosque Zarza\nP-{0}	Foresta Rovospino\1nP-{0}	荆棘树林\nB{0}F	
0000-bramble_woods-0002|((FloorNameIDZoneStep)data.Segments[0001].ZoneSteps[0001]).Name		Bramble Thicket\nB{0}F		Matorral Zarza\nP-{0}	Boschetto Rovospino\1nP-{0}	荆棘密林\nB{0}F	
0000-bravery_road-0000|data.Name		Bravery Road		Sendero Valentía	Sentiero Coraggio	无畏之路	
0000-bravery_road-0001|((FloorNameIDZoneStep)data.Segments[0000].ZoneSteps[0001]).Name		Bravery Road\n{0}F		Sendero Valentía\nP{0}	Sentiero Coraggio\1nP{0}	无畏之路\n{0}F	
0000-castaway_cave-0000|data.Name		Castaway Cave					
0000-castaway_cave-0001|((FloorNameIDZoneStep)data.Segments[0000].ZoneSteps[0001]).Name		Castaway Cave\nB{0}F					
0000-cave_of_solace-0000|data.Name		Cave of Solace	Höhle des Trostes	Cueva Consuelo	Caverna Ristoro	舒缓洞窟	
0000-cave_of_solace-0001|((FloorNameIDZoneStep)data.Segments[0000].ZoneSteps[0001]).Name		Cave of Solace\nB{0}F	Höhle des Trostes\n{0}.KG	Cueva Consuelo\nP-{0}	Caverna Ristoro\1nP-{0}	舒缓洞窟\nB{0}F	
0000-cave_of_whispers-0000|data.Name		Cave of Whispers	Höhle des Geflüsters	Cueva de los Susurros	Grotta dei Sussurri	低语洞窟	
0000-cave_of_whispers-0001|((FloorNameIDZoneStep)data.Segments[0000].ZoneSteps[0001]).Name		Cave of Whispers\nB{0}F	Höhle des Geflüsters\n{0}.KG	Cueva de los Susurros\nP-{0}	Grotta dei Sussurri\1nP-{0}	低语洞窟\nB{0}F	
