Monster	Skill	Intrinsic	Status	AI	Item	Role
---	---	---	---	--	----	---
abomasnow	attack	none	all_protect	avoid_trouble	ammo_cacnea_spike	Normal
abra	pound	stench	aqua_ring	boss	ammo_corsola_twig	Support
absol	karate_chop	drizzle	area_counter	get_away	ammo_geo_pebble	Leader
accelgor	double_slap	speed_boost	attack_response	go_after_foes	ammo_golden_thorn	Loner
aegislash	comet_punch	battle_armor	belch	item_finder	ammo_gravelerock	
aerodactyl	mega_punch	sturdy	biding	lead_boss	ammo_iron_thorn	
aggron	pay_day	damp	bind	loot_guard	ammo_rare_fossil	
aipom	fire_punch	limber	blinker	mission_target	ammo_silver_spike	
alakazam	ice_punch	sand_veil	bouncing	moon_dance	ammo_stick	
alcremie	thunder_punch	static	burn	patrol	apricorn_big	
alomomola	scratch	volt_absorb	charge	retreater	apricorn_black	
altaria	vice_grip	water_absorb	charging_focus_punch	shopkeeper	apricorn_blue	
amaura	guillotine	oblivious	charging_razor_wind	shuckle	apricorn_brown	
ambipom	razor_wind	cloud_nine	charging_skull_bash	slow_patrol	apricorn_glittery	
amoonguss	swords_dance	compound_eyes	charging_sky_attack	slow_wander	apricorn_green	
ampharos	cut	insomnia	charging_solar_beam	split_up	apricorn_perfect	
annihilape	gust	color_change	chasing	staged_boss	apricorn_plain	
anorith	wing_attack	immunity	clamp	stick_together	apricorn_purple	
appletun	whirlwind	flash_fire	confuse	super_flee_stairs	apricorn_red	
applin	fly	shield_dust	conversion	thief	apricorn_white	
araquanid	bind	own_tempo	conversion_2	tit_for_tat	apricorn_yellow	
arbok	slam	suction_cups	counter	turret	berry_apicot	
arboliva	vine_whip	intimidate	crits_landed	wait_and_see	berry_aspear	
arcanine	stomp	shadow_tag	cursed	wait_attack	berry_babiri	
arceus	double_kick	rough_skin	decoy	wait_only	berry_charti	
archen	mega_kick	wonder_guard	defense_curl	wait_there	berry_cheri	
archeops	jump_kick	levitate	destiny_bond	wander_dumb	berry_chesto	
arctibax	rolling_kick	effect_spore	detect	wander_dumb_itemless	berry_chilan	
arctovish	sand_attack	synchronize	digging	wander_normal	berry_chople	
arctozolt	headbutt	clear_body	disable	wander_smart	berry_coba	
ariados	horn_attack	natural_cure	diving	weird_tree	berry_colbur	
armaldo	fury_attack	lightning_rod	doom_desire		berry_custap	
armarouge	horn_drill	serene_grace	electrified		berry_enigma	
aromatisse	tackle	swift_swim	embargo		berry_ganlon	
aron	body_slam	chlorophyll	encore		berry_haban	
arrokuda	wrap	illuminate	endure		berry_hondew	
articuno	take_down	trace	enraged		berry_jaboca	
audino	thrash	huge_power	exposed		berry_kasib	
aurorus	double_edge	poison_point	fire_pledge		berry_kebia	
avalugg	tail_whip	inner_focus	fire_spin		berry_kee	
axew	poison_sting	magma_armor	flinch		berry_kelpsy	
azelf	twineedle	water_veil	flying		berry_leppa	
azumarill	pin_missile	magnet_pull	focus_energy		berry_liechi	
azurill	leer	soundproof	follow_me		berry_lum	
bagon	bite	rain_dish	freeze		berry_maranga	
baltoy	growl	sand_stream	friendly_fire		berry_micle	
banette	roar	pressure	future_sight		berry_occa	
barbaracle	sing	thick_fat	grass_pledge		berry_oran	
barboach	supersonic	early_bird	grudge		berry_passho	
barraskewda	sonic_boom	flame_body	heal_block		berry_payapa	
basculegion	disable	run_away	illusion		berry_pecha	
basculin	acid	keen_eye	immobilized		berry_persim	
bastiodon	ember	hyper_cutter	in_love		berry_petaya	
baxcalibur	flamethrower	pickup	infestation		berry_qualot	
bayleef	mist	truant	ingrain		berry_rawst	
beartic	water_gun	hustle	invisible		berry_rindo	
beautifly	hydro_pump	cute_charm	kings_shield		berry_roseli	
beedrill	surf	plus	last_ally_move		berry_rowap	
beheeyem	ice_beam	minus	last_move_hit_by_other		berry_salac	
beldum	blizzard	forecast	last_targeted_by		berry_shuca	
bellibolt	psybeam	sticky_hold	last_used_move		berry_sitrus	
bellossom	bubble_beam	shed_skin	last_used_move_slot		berry_starf	
bellsprout	aurora_beam	guts	leech_seed		berry_tamato	
bergmite	hyper_beam	marvel_scale	light_screen		berry_tanga	
bewear	peck	liquid_ooze	lucky_chant		berry_wacan	
bibarel	drill_peck	overgrow	magic_coat		berry_yache	
bidoof	submission	blaze	magma_storm		boost_calcium	
binacle	low_kick	torrent	magnet_rise		boost_carbos	
bisharp	counter	swarm	mental_charged		boost_hp_up	
blacephalon	seismic_toss	rock_head	metal_burst		boost_iron	
blastoise	strength	drought	mini_counter		boost_nectar	
blaziken	absorb	arena_trap	minimized		boost_protein	
blipbug	mega_drain	vital_spirit	miracle_eye		boost_zinc	
blissey	leech_seed	white_smoke	mirror_coat		box_dainty	
blitzle	growth	pure_power	missed_all_last_turn		box_deluxe	
boldore	razor_leaf	shell_armor	mist		box_glittery	
boltund	solar_beam	air_lock	mod_accuracy		box_heavy	
bombirdier	poison_powder	tangled_feet	mod_attack		box_light	
bonsly	stun_spore	motor_drive	mod_defense		box_nifty	
bouffalant	sleep_powder	rivalry	mod_evasion		egg_mystery	
bounsweet	petal_dance	steadfast	mod_range		empty	
braixen	string_shot	snow_cloak	mod_special_attack		evo_chipped_pot	
brambleghast	dragon_rage	gluttony	mod_special_defense		evo_cracked_pot	
bramblin	fire_spin	anger_point	mod_speed		evo_dawn_stone	
braviary	thunder_shock	unburden	nightmare		evo_deep_sea_scale	
breloom	thunderbolt	heatproof	none		evo_deep_sea_tooth	
brionne	thunder_wave	simple	outrage		evo_dubious_disc	
bronzong	thunder	dry_skin	paralyze		evo_dusk_stone	
bronzor	rock_throw	download	paused		evo_electirizer	
brute_bonnet	earthquake	iron_fist	perish_song		evo_everstone	
bruxish	fissure	poison_heal	petal_dance		evo_fire_stone	
budew	dig	adaptability	phantom_force		evo_harmony_scarf	
buizel	toxic	skill_link	pierce		evo_ice_stone	
bulbasaur	confusion	hydration	poison		evo_kings_rock	
buneary	psychic	solar_power	poison_toxic		evo_leaf_stone	
bunnelby	hypnosis	quick_feet	powder		evo_link_cable	
burmy	meditate	normalize	power_charged		evo_lunar_ribbon	
butterfree	agility	sniper	protect		evo_magmarizer	
buzzwole	quick_attack	magic_guard	quick_guard		evo_moon_stone	
cacnea	rage	no_guard	rage_powder		evo_oval_stone	
cacturne	teleport	stall	recruit_boost		evo_prism_scale	
calyrex	night_shade	technician	reflect		evo_protector	
camerupt	mimic	leaf_guard	regeneration		evo_razor_claw	
capsakid	screech	klutz	retaliate		evo_razor_fang	
carbink	double_team	mold_breaker	roosting		evo_reaper_cloth	
carkol	recover	super_luck	safeguard		evo_shiny_stone	
carnivine	harden	aftermath	sand_tomb		evo_sun_ribbon	
carracosta	minimize	anticipation	shadow_force		evo_sun_stone	
carvanha	smokescreen	forewarn	shopkeeper		evo_thunder_stone	
cascoon	confuse_ray	unaware	sky_drop_target		evo_up_grade	
castform	withdraw	tinted_lens	sky_drop_user		evo_water_stone	
caterpie	defense_curl	filter	sleep		food_apple	
celebi	barrier	slow_start	sleepless		food_apple_big	
celesteela	light_screen	scrappy	slip		food_apple_golden	
centiskorch	haze	storm_drain	snatch		food_apple_huge	
ceruledge	reflect	ice_body	stat_charged		food_apple_perfect	
cetitan	focus_energy	solid_rock	status_protection		food_banana	
cetoddle	bide	snow_warning	stockpile		food_banana_big	
chandelure	metronome	honey_gather	super_mobile		food_banana_golden	
chansey	mirror_move	frisk	sure_shot		food_chestnut	
charcadet	self_destruct	reckless	taunted		food_grimy	
charizard	egg_bomb	multitype	telekinesis		gummi_black	
charjabug	lick	flower_gift	thrash		gummi_blue	
charmander	smog	bad_dreams	times_move_used		gummi_brown	
charmeleon	sludge	pickpocket	torment		gummi_clear	
chatot	bone_club	sheer_force	transformed		gummi_foul	
cherrim	fire_blast	contrary	type_boosted		gummi_gold	
cherubi	waterfall	unnerve	type_converted		gummi_grass	
chesnaught	clamp	defiant	type_protected		gummi_gray	
chespin	swift	defeatist	veiled		gummi_green	
chewtle	skull_bash	cursed_body	was_hurt_last_turn		gummi_magenta	
chi_yu	spike_cannon	healer	water_pledge		gummi_orange	
chien_pao	constrict	friend_guard	weakness_drain		gummi_pink	
chikorita	amnesia	weak_armor	whirlpool		gummi_purple	
chimchar	kinesis	heavy_metal	wide_guard		gummi_red	
chimecho	soft_boiled	light_metal	wish		gummi_royal	
chinchou	high_jump_kick	multiscale	wrap		gummi_silver	
chingling	glare	toxic_boost	yawning		gummi_sky	
cinccino	dream_eater	flare_boost			gummi_white	
cinderace	poison_gas	harvest			gummi_wonder	
clamperl	barrage	telepathy			gummi_yellow	
clauncher	leech_life	moody			held_assault_vest	
clawitzer	lovely_kiss	overcoat			held_big_root	
claydol	sky_attack	poison_touch			held_binding_band	
clefable	transform	regenerator			held_black_belt	
clefairy	bubble	big_pecks			held_black_glasses	
cleffa	dizzy_punch	sand_rush			held_black_sludge	
clobbopus	spore	wonder_skin			held_blank_plate	
clodsire	flash	analytic			held_charcoal	
cloyster	psywave	illusion			held_choice_band	
coalossal	splash	imposter			held_choice_scarf	
cobalion	acid_armor	infiltrator			held_choice_specs	
cofagrigus	crabhammer	mummy			held_cover_band	
combee	explosion	moxie			held_defense_scarf	
combusken	fury_swipes	justified			held_draco_plate	
comfey	bonemerang	rattled			held_dragon_scale	
